"","M_DONOR_1","M_DONOR_2","M_DONOR_3","M_DONOR_4","M_DONOR_6","M_DONOR_7","M_DONOR_8","M_DONOR_9"
"2-Furancarboxylic acid, hydrazide",38270.6666666667,0,0,0,0,0,0,0
"2-Furanmethanol",0,0.00430467666666667,0,0,0,0,0,0.000723013833333333
"2-Heptanone",0,0,0,0,0,0,0.06823212,0.0600166813666667
"2-Heptenal",1402490.66666667,0,0.125172531,0,0,0,0,0
"2-Heptene",0,0.01873268,0,0,0,0,0,0
"2-Hexanamine, 4-methyl-",3231307.33333333,0,0,0,0,0,0,0
"2-Hexanol",1086036.33333333,0.007461926,0,0,0,0,0,0.0152566339
"2-Hexanone",0,0,0.368833727666667,0,0,0,0,0.0450031526666667
"2-Hexenal",0,0.0121215686666667,0,0,0,0,0,0
"2-Hydroxy-3-pentanone",2470239.33333333,0,0,0,0.0044458171,0,0,0
"2-Hydroxy-iso-butyrophenone",1709032.33333333,0,0,0.00529660023333333,0,0,0,0
"2-Methyl-1-hexanol",0,0.0136604166666667,0.055100579,0,0.0022798617,0,0.005283546,0
"2-Methyl-1-undecanol",1515097,0,0,0,0,0,0,0
"2-n-Butyl furan",0,0,0,0,0,0,0.0248631633333333,0
"2-Nonanone",3577847,0,0,0,0,0,0,0
"2-Octanone",6813191.66666667,0,0,0,0,0,0,0
"2-Octen-1-ol",2253041,0,0,0,0,0,0,0
"2-Octenal",3857216.33333333,0.07716089,0,0,0,0.0191487866666667,0,0
"2-Octenoic acid",0,0,0.102844912,0,0,0,0,0
"2-Pentanol",0,0,0.275948119333333,0.0218158484,0,0,0.0928830666666667,0.0485593482
"2-Pentanone",0,0,3.13348646233333,0,0,0,0,0
"2-Pentanone, 3-methyl-",0,0,0,0.0050474325,0.0167724428,0,0,0
"2-Pentanone, 4-hydroxy-4-methyl-",0,0.153089266666667,0,0.0461941775666667,0.0376295871333333,0,0,0
"2-Penten-1-ol",3888252,0,0,0,0,0,0.00524202366666667,0
"2-Pentenal",0,0,0.0850892736666667,0,0,0,0,0
"2-Propanol, 1-(2-butoxy-1-methylethoxy)-",3482008.66666667,0,0,0,0,0,0,0
"2-Propanol, 1-(2-methoxy-1-methylethoxy)-",3840089.33333333,0,0,0,0,0,0,0.0251231290333333
"2-Propanol, 1-[2-(2-methoxy-1-methylethoxy)-1-methylethoxy]-",0,0,0,0,0,0.0154583266666667,0,0
"2-Propanol, 1-butoxy-",0,0,0,0.00432699393333333,0,0,0,0.00294334826666667
"2-Propanol, 1-chloro-",0,0.01071899,0,0,0,0,0,0
"2-Propanol, 1-ethoxy-",0,0,0,0.224560333133333,0,0,0,0
"2-Propanol, 1-propoxy-",0,0,5.46255117433333,0.172654714966667,0.189718727366667,0,0.0731292933333333,0.218987365366667
"2-Propanol, 1,1,1,3,3,3-hexafluoro-",0,0,0,0,0,0,0,0.0065133899
"2-Propanone, 1-(acetyloxy)-",0,0.175261003333333,0,0,0,0.0643078533333333,0,0
"2-Propanone, 1-hydroxy-",0,0,1.11144619,0,0,0,0,0
"2-Propanone, 1-methoxy-",0,0,0,0.0024034032,0,0,0,0
"2-Propanone, 1,1-dichloro-",0,0,0.217403080666667,0.00222050046666667,0,0,0,0
"2-Propanone, 1,1,1-trifluoro-",0,0,0,0.162209774966667,0,0.129682866666667,0,0
"2-Propenal",0,0,1.035175472,0,0,0,0,0
"2-Propenamide, N-(1,1-dimethyl-3-oxobutyl)-",0,0,0.0303845526666667,0,0,0,0,0
"2-Propenoic acid, 2-methyl-, octyl ester",0,0,0,0,0,0.00012666992,0,0
"2-Propenoic acid, 2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluorooctyl ester",0,0,0,0,0.00122730685333333,0,0,0
"2-Propenoic acid, butyl ester",0,0,0.0770581833333333,0,0.0272557338333333,0,0,0
"2-Propenoic acid, ethenyl ester",0,0,1.53038303056667,0.00290245206666667,0,0,0,0
"2-Propenoic acid, octyl ester",0,1.01523963333333,16.940360282,1.31585985083333,0,0,0,0.3722235586
"2-Undecanethiol, 2-methyl-",0,0.0912027996666667,0,0,0,0,0,0
"2,2-Dichloroethyl methyl ether",0,0,0,0,0,0,0.0028105393,0
"2,2,3,3-Tetrafluoro-1-propanol",0,0,0,0,0,0.00122162926666667,0,0
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",0,0,0,0,0,0,0.0193746333333333,0
"2,2,7,7-Tetramethyloctane",8092137.66666667,0,0,0,0,0,0,0
"2,2'-Difluorobiphenyl",173093.666666667,0,0,0,0,0,0,0
"2,2'-Dipiperidine",0,0.000114536693333333,0,0,0,0,0,0
"2,3-Butanediol",29975488.3333333,0,0,0,0,0,0,0
"2,3-Butanediol, [R-(R*,R*)]-",0,0,0,0,0,0,0,0.188694348633333
"2,3-Butanediol, [S-(R*,R*)]-",771418,0,0,0,0,0,0.00456074126666667,0
"2,3-Butanedione",47363680,0,0,0,0,0,0,0
"2,3-Dimethyldecane",10859115.3333333,0,0,0,0,0,0,0
"2,3-Pentanedione",1184824.66666667,0,0,0,0,0,0,0
"2,4-Dimethyl-1-heptene",0,0,0,0.0319011598,0,0,0,0
"2,4,4-Trimethyl-1-pentanol",0,0.00773953466666667,0,0,0,0,0,0
"2,6-Dimethyldecane",0,0,0,0,0,0,0,0.360056674933333
"2(3H)-Furanone, 5-ethenyldihydro-5-methyl-",0,0.0010760081,0.0253370473333333,0,0,0.0004859316,0,0
"2(3H)-Furanone, dihydro-5-propyl-",0,0,0.0721453213333333,0,0,0,0,0
"2H-1,2-Oxazine, 6-(4-chlorophenyl)tetrahydro-2-methyl-",0,0,0,0,0,0,0,0.000814811233333333
"2H-Pyran-2-one, tetrahydro-6-methyl-",0,0,0,0,0.0011072377,0,0,0
"3-Buten-1-ol, 3-methyl-",1120079.66666667,0.00410807566666667,0.0322662623333333,0.00246083726666667,0.0069457156,0,0.007232174,0.0010013357
"3-Buten-2-ol, 2-methyl-",3685808,0,0,0,0,0,0,0
"3-Carene",0,0,0.326756261,0.0658837927333333,0,0.106282573333333,0,0
"3-Ethyl-4-methylpentan-1-ol",0,0.835015033333333,4.39090627333333,0,0,0,0,0
"3-Hexanone, 2,5-dimethyl-4-nitro-",21387708.6666667,0,2.202399985,0,0,0,0,0.127978070666667
"3-Hexen-1-ol",0,0,0,0,0,0,0,0.0047640475
"3-Hexene",7967650.66666667,0,0,0,0,0,0,0
"3-Hydroxy-3-methyl-2-butanone",0,0,0.0251938773333333,0,0,0,0,0
"3-Methoxyamphetamine",0,0,0,0,0,0,0.0046986385,0
"3-Methylbenzothiophene",0,0,0,0.000775575366666667,0,0,0,0.000593992933333333
"3-Methylheptyl acetate",0,0,2.54306654066667,0,0.0084100377,0,0,0
"3-Octanol, 3,7-dimethyl-",0,0,0,0,0,0,0,0.0474547323666667
"3-Octanone",2162018.66666667,0,0,0,0,0,0,0
"3-Octen-2-one",0,0.04671019,0,0,0,0,0,0
"3-Octene",0,0,0,0,0,0,0,0.0885056051666667
"3-Pentanone, 2,4-dimethyl-",0,0,0,0.0111875023,0,0,0,0
"3-Penten-2-one",0,0,0.0858074486666667,0,0,0,0,0
"3-Pentenoic acid, 4-methyl-",0,0,0,0,0.00233363443333333,0,0,0
"3,3'-Bifuran, 2,2',3,3'-tetrahydro-",0,0,0,0,0,6.54495933333333e-05,0,0
"3,4-Diacetylfurazan",102911.333333333,0,0,0,0,0,0,0
"3,4-Difluorobenzaldehyde",0,0,0,0,0.00156153753333333,0,0,0
"3,4-Dimethylcumene",0,0,0,0,0.00285501323333333,0,0,0
"3,5-di-tert-Butyl-4-hydroxybenzaldehyde",0,0,0,0.000581282233333333,0,0,0,0
"3,5-Difluorobenzaldehyde",0,0.0152359733333333,0,0,0,0,0,0
"3,5-Difluorophenol",0,0,0,0.0035686001,0,0.00490529233333333,0,0
"3,5-Octadien-2-one, (E,E)-",0,0.0155963333333333,0,0,0,0,0,0
"3,7-Dibromo-2-hydroxy-5-(p-tolylazo)tropone",0,0,0.0801026573333333,0,0,0,0,0
"4-Cyclopentene-1,3-dione",746617,0,0,0,0,0,0,0
"4-Ethyl-4-methyl-5-methylene-[1,3]dioxolan-2-one",0,0.311669566666667,0,0,0,0,0,0
"4-Ethylcyclohexanol",0,0,0,0,0,0.00501997,0.00356871166666667,0
"4-Nonene",0,0,0,0,0,0,0,0.0281246811
"4-Octene",0,0,0,0,0.0241085543666667,0,0,0
"4-Penten-2-ol",0,1.48302340633333,0,0,0,0,3.16662256666667,0
"4-tert-Butylcyclohexyl acetate",0,0,0.265621063666667,0,0,0,0,0.0258201058666667
"4-Undecene, 7-methyl-",0,0.2774638,0,0,0,0,0,0
"4,6-Bis(4-ethoxybenzylthio)-5-nitropyrimidine",0,0,0.002364266,0,0,0,0,0
"4,8,12-Tetradecatrienal, 5,9,13-trimethyl-",2552291.33333333,0,0,0,0,0,0,0
"5-Ethyldecane",0,0.312542133333333,2.15647822066667,0,0.0873034118666667,0,0,0
"5-Hepten-2-one, 6-methyl-",0,0,0,0,0,0,0.3109802,0
"5-Methyl-1-heptanol",0,0.478771033333333,4.22047277266667,0.5819637713,0,0,0,0.0975343918333333
"5,6,7,8,9,10-Hexahydrobenzocyclooctene",0,0,0,0.0112694498333333,0,0,0,0
"5,9-Undecadien-2-one, 6,10-dimethyl-",39703138,0.0713475766666667,0,0,0.275275891833333,0.07441906,0.170033033333333,0.0716050807666667
"5H-Benzocycloheptene,6,7,8,9-tetrahydro-",0,0,0,0,0,0,0,0.0072916216
"6-Methyl-3,5-heptadiene-2-one",1005142.33333333,0,0,0,0,0,0,0
"7-Octen-2-ol, 2,6-dimethyl-",0,0,0,0,0.0280868187,0,0,0
"Acenaphthene",0,0,0.0110334286666667,0,0,0,0,0.000998717166666667
"Acetaldehyde",0,0,0,0,0,0,0.398313533333333,0
"Acetamide, 2,2-dichloro-",0,0,0,0.0020562492,0,0,0.006133536,0
"Acetamide, N,N'-ethylenebis(N-nitro-",0,0,0,0.0093284419,0,0,0,0
"Acetic acid, (acetyloxy)-",0,0.002017695,0.021728537,0,0.000774684033333333,0,0,0
"Acetic acid, [(aminocarbonyl)amino]oxo-",0,0.0219973166666667,0,0,0,0,0,0
"Acetic acid, 2-(methylaminoethyl) ester",0,0,0,0.0123593220666667,0,0,0,0
"Acetic acid, butyl ester",0,0,0,0.0528842771,0,0,0,0.187901984733333
"Acetic acid, hexyl ester",0,0,0,0,0,0,0.0179659866666667,0
"Acetic acid, hydroxy-",0,0,0,0,0,0,0,0.0549089883
"Acetic acid, hydroxy-, ethyl ester",0,0.0210786466666667,0,0,0,0,0,0
"Acetic acid, methoxy-, anhydride",0,0,0,0.00418483506666667,0,0,0,0
"Acetic acid, methyl ester",0,0.341656733333333,0,0,0,0,0,0
"Acetic acid, octyl ester",0,0,5.30145694966667,0,0,0,0,0.0766870515
"Acetic acid, phenyl ester",0,0.0134397886666667,0,0,0,0,0,0
"Acetic acid, phenylmethyl ester",0,0,0,0.0114470985,0.0053016286,0,0,0.00272566323333333
"Acetic acid, trifluoro-, 3,7-dimethyloctyl ester",0,0,0.833406957,0,0,0,0,0
"Acetic anhydride",0,0,0,0.714362444466667,0,0,0,0
"Acetohydroxamic acid",0,0,0,0,0,0,0.287124240666667,0
"Acetoin",0,0,0,0.477604978366667,0,0,0,0
"Adamantane",0,0,0,0,0.00486017773333333,0,0,0
"Adamantane, 1,3-dimethyl-",0,0,0,0,0.0248216415666667,0,0,0
"Allantoic acid",0,0,0,0,0,0,0.0400581566666667,0
"Amylene hydrate",0,0.00785070866666667,0.129731292,0.0166164273,0,0,0,0
"Anethole",0,0.006638682,0.114792061333333,0,0,0,0,0
"Benzaldehyde, 2-hydroxy-",0,0,0,0,0,0,0.0408319233333333,0
"Benzaldehyde, 2-methyl-",0,0.012491373,0,0,0,0,0,0
"Benzaldehyde, 2,4,6-trimethyl-",716367.333333333,0,0,0,0,0,0,0
"Benzaldehyde, 4-methoxy-",0,0,0.0851383116666667,0,0,0,0,0
"Benzene, (1-butylheptyl)-",0,0,0,0,0,0,0,0.0151477019
"Benzene, (1-butylnonyl)-",0,0,0,0.00242502953333333,0,0,0,0
"Benzene, (1-methylethyl)-",0,0,0,0,0,0,0,0.0226125029666667
"Benzene, (1-methylpropyl)-",0,0,0,0.00842684463333333,0,0,0,0.0190712431333333
"Benzene, (1-methylundecyl)-",0,0,0,0.00282962053333333,0,0,0,0
"Benzene, (1-pentylheptyl)-",4128792.33333333,0.0141942946666667,0,0,0,0,0,0.0077188791
"Benzene, (1-propylnonyl)-",0,0,0,0,0,0,0,0.00450641836666667
"Benzene, (2-methyl-1-propenyl)-",0,0,0.040048882,0,0,0,0,0
"Benzene, [2,2,2-trifluoro-1-(trifluoromethyl)ethyl]-",0,0,0,0,0,0,0.001852798,0.00138846186666667
"Benzene, 1-bromo-3-chloro-",1738339,0,0,0,0,0,0,0
"Benzene, 1-bromo-4-chloro-",657266.333333333,0,0,0,0,0,0,0
"Benzene, 1-chloro-2-methyl-",0,0.00306917833333333,0,0,0,0,0,0
"Benzene, 1-ethenyl-2-methyl-",0,0,0.0518501976666667,0,0,0,0,0
"Benzene, 1-ethyl-2,4-dimethyl-",0,0,0,0,0.0408533614333333,0,0,0
