"","D1","D2_d0","D2_d1","D2_d2","D2_d3","D2_d4","D3_d0","D3_d2","D3_d3","D3_d4","D4_d0","D4_d1","D4_d3","D6_d0","D6_d1","D6_d2","D6_d3","D6_d4","D6_d5","D7_d0","D7_d1","D7_d2","D7_d4","D7_d5","D8_d0","D8_d1","D8_d2","D8_d3","D8_d4","D8_d5","D9_d0","D9_d1","D9_d2","D9_d3","D9_d4","D9_d5"
"1-Heptanamine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009918953
"1-Heptanol",0.0128579371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00478372643333333,0,0,0,0,0,0,0,0.00938750773333333,0,0,0.00912395236666667,0,0,0.00919895,0,0,0,0,0,0
"1-Heptanol, 2-propyl-",0.0071767234,0,0,0,0,0.002479965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002087645,0,0.002385752,0,0,0,0,0
"1-Heptanol, 6-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002041344,0,0,0,0,0,0,0
"1-Heptene",0,0.0471985966,0,0,0,0.02223033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117904798666667,0.03767611,0.01562396,0,0,0,0.0423094833333333,0,0
"1-Heptene, 3-methyl-",0,0,0,0,0,0.002488327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009179387,0,0,0,0,0,0
"1-hexadecanesulfonamide, N-(4-aminophenyl)-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002149247
"1-Hexanol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014115642,0.026421517,0,0,0,0,0,0.0146501454,0,0,0
"1-Hexanol, 2-ethyl-",0,0,0,0,0,0.1053769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Hexanol, 5-methyl-2-(1-methylethyl)-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009739743,0,0,0,0,0,0
"1-Hexene",0.178523265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04074681,0,0,0,0,0,0,0
"1-Hexene, 2,5-dimethyl-",0,0,0,0,0,0.00177761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Hexene, 3,5,5-trimethyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001612235,0,0,0,0,0,0,0
"1-Iodo-2-methylundecane",0,0,0,0,0,0.005038786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Methyldodecylamine",0,0,0,0,0,0,4407958.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Nonadecanamine, N,N-dimethyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005086048,0,0,0,0,0,0,0
"1-Nonanol",0,0,0,0,0,0.001678395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024600825,0,0,0,0.008323333,0.006771308,0.006757835,0,0,0,0,0.003388093
"1-Nonene",0,0,0,0,0,0,0,0,0,0,0,0.004021308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138455799,0,0,0,0,0,0,0,0,0
"1-Octanamine, N-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004866345
"1-Octanol",0,0,0,0,0,0.004882763,0,0,0,0,0,0,0,0,0,0,0,0.0164717859666667,0,0,0,0,0,0,0,0,0,0,0,0.008147216,0.00991883833333333,0,0.00918774696666667,0,0,0
"1-Octanol, 2-butyl-",0,0,0,0,0,0,0,0,0,0,0,0,0.0021943265,0,0.00255906576666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003336543,0.008147665,0,0,0,0,0,0
"1-Octen-3-ol",0,0,0,0,0,0.0108314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01119726,0,0,0,0,0,0,0
"1-Octen-3-one",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127484125,0,0,0,0.004380443,0,0,0,0,0,0.0144324916666667,0.002955334
"1-Octen-3-yl-acetate",0.0367680134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Octene",0.104854266766667,0.0974706934,0,0,0.031772959275,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140498386666667,0,0,0,0.0100488772333333,0,0,0,0,0,0.02883042,0,0,0,0,0,0,0.01752462
"1-Octene, 3,7-dimethyl-",0,0,0,0.006726178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019650155,0,0,0,0,0,0,0,0,0,0,0
"1-Octene, 7-methyl-",0,0,0,0,0,0.0004309387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
